id_desa,prediksi,status_prediksi
1111140017,1,Maju
1111140018,1,Maju
1111140019,1,Maju
1111140020,1,Maju
1111140021,1,Maju
1111140022,1,Maju
1111140023,1,Maju
1111140024,1,Maju
1111140025,1,Maju
1111140026,1,Maju
1111140027,1,Maju
1111140028,1,Maju
1111140029,0,Tertinggal
1111140030,1,Maju
1111140031,1,Maju
1111140032,1,Maju
1111140033,1,Maju
1111140034,1,Maju
1111150001,0,Tertinggal
1111150002,1,Maju
1111150003,0,Tertinggal
1111150004,0,Tertinggal
1111150005,0,Tertinggal
1111150006,0,Tertinggal
1111150007,0,Tertinggal
1111150008,1,Maju
1111150009,1,Maju
1111150015,0,Tertinggal
1111150016,0,Tertinggal
1111150017,0,Tertinggal
1111150018,0,Tertinggal
1111150019,1,Maju
1111150020,0,Tertinggal
1111150021,0,Tertinggal
1111150024,0,Tertinggal
1111150029,0,Tertinggal
1111151001,1,Maju
1111151002,0,Tertinggal
1111151003,0,Tertinggal
1111151004,0,Tertinggal
1111151005,1,Maju
1111151006,0,Tertinggal
1111151007,0,Tertinggal
1111151008,0,Tertinggal
1111151009,1,Maju
1111151010,1,Maju
1111151011,0,Tertinggal
1111160001,0,Tertinggal
1111160002,0,Tertinggal
1111160003,0,Tertinggal
1111160004,0,Tertinggal
1111160005,0,Tertinggal
1111160006,0,Tertinggal
1111160007,0,Tertinggal
1111160008,1,Maju
1111160009,1,Maju
1111160010,1,Maju
1111160011,1,Maju
1111160012,1,Maju
1111160013,1,Maju
1111160014,1,Maju
1111160015,1,Maju
1111160016,0,Tertinggal
1111160017,0,Tertinggal
1111160018,0,Tertinggal
1111160019,0,Tertinggal
1111160020,0,Tertinggal
1111160021,0,Tertinggal
1111160022,1,Maju
1111160023,1,Maju
1111160024,1,Maju
1111170001,0,Tertinggal
1111170002,0,Tertinggal
1111170003,1,Maju
1111170004,1,Maju
1111170005,1,Maju
1111170006,1,Maju
1111170007,1,Maju
1111170008,1,Maju
1111170009,0,Tertinggal
1111170010,0,Tertinggal
1111170011,1,Maju
1111170012,1,Maju
1111170013,1,Maju
1111170014,0,Tertinggal
1111170015,0,Tertinggal
